symbol,date,marketcap
A,2015-03-31,13662
AACG,2015-03-31,107
AACH,2015-03-31,683
AAL,2015-03-31,36642
AAMC,2015-03-31,458
AAME,2015-03-31,80
AAN,2015-03-31,2281
AAOI,2015-03-31,214
AAON,2015-03-31,1279
AAP,2015-03-31,11119
AAPC,2015-03-31,107
AAPL,2015-03-31,735030
AAT,2015-03-31,1825
AAWW,2015-03-31,1143
AAXN,2015-03-31,1494
AB,2015-03-31,3128
ABAX,2015-03-31,1323
ABBV,2015-03-31,98619
ABC,2015-03-31,25146
ABCB,2015-03-31,830
ABCD,2015-03-31,140
ABCO,2015-03-31,2148
ABCP,2015-03-31,89
ABCW,2015-03-31,342
ABDC,2015-03-31,183
ABEO,2015-03-31,133
ABG,2015-03-31,2329
ABHD,2015-03-31,14
ABIO,2015-03-31,18
ABM,2015-03-31,1833
ABMC,2015-03-31,3
ABMD,2015-03-31,2735
ABR,2015-03-31,355
ABT,2015-03-31,69599
ABUS,2015-03-31,734
ACAD,2015-03-31,3466
ACAS,2015-03-31,4005
ACAT,2015-03-31,449
ACC,2015-03-31,4670
ACCO,2015-03-31,909
ACER,2015-03-31,18
ACET,2015-03-31,633
ACFC,2015-03-31,65
ACFN,2015-03-31,12
ACGL,2015-03-31,7774
ACHC,2015-03-31,4667
ACHN,2015-03-31,1125
ACHV,2015-03-31,46
ACIIQ,2015-03-31,210
ACIW,2015-03-31,2599
ACLS,2015-03-31,292
ACM,2015-03-31,4890
ACMC,2015-03-31,7
ACN,2015-03-31,75599
ACNB,2015-03-31,123
ACOR,2015-03-31,1358
ACRE,2015-03-31,321
ACRX,2015-03-31,152
ACSF,2015-03-31,132
ACTA,2015-03-31,585
ACTG,2015-03-31,536
ACTL,2015-03-31,13
ACU,2015-03-31,60
ACUR,2015-03-31,39
ACW,2015-03-31,217
ACY,2015-03-31,17
ADBE,2015-03-31,38001
ADC,2015-03-31,564
ADEP,2015-03-31,80
ADES,2015-03-31,346
ADGE,2015-03-31,32
ADI,2015-03-31,19805
ADM,2015-03-31,30523
ADMA,2015-03-31,87
ADMG,2015-03-31,68
ADMP,2015-03-31,56
ADMS,2015-03-31,313
ADMT,2015-03-31,13
ADNC,2015-03-31,109
ADP,2015-03-31,40397
ADPTQ,2015-03-31,1205
ADRO,2015-03-31,1975
ADS,2015-03-31,18549
ADSK,2015-03-31,12665
ADT1,2015-03-31,6762
ADTN,2015-03-31,934
ADUS,2015-03-31,274
ADVM,2015-03-31,966
ADVS,2015-03-31,2302
ADXS,2015-03-31,614
ADYX,2015-03-31,102
AE,2015-03-31,240
AEC,2015-03-31,1537
AEE,2015-03-31,10009
AEGG,2015-03-31,9
